Player,Team,Age,Nationality,Mat,Inns,Not Outs,Runs,Highest Score,Batting Average,Balls Faced,SR,100,50,0,4s,6s
Shashank Singh (PBKS),PBKS,33,India,17,14,7,350,61*,50,228,153.5,0,3,0,23,18
Shubman Gill (GT),GT,25,India,15,15,2,650,93*,50,417,155.87,0,6,0,62,24
Simarjeet Singh (SRH),SRH,27,New Zealand,4,3,1,3,3*,1.5,7,42.85,0,0,2,0,0
SK Rasheed (CSK),CSK,20,England,5,5,0,71,27,14.2,63,112.69,0,0,1,9,2
SM Curran (CSK),CSK,26,India,5,5,0,114,88,22.8,84,135.71,0,1,0,11,4
SN Thakur (LSG),LSG,33,India,10,5,2,18,6,6,12,150,0,0,1,3,0
SO Hetmyer (RR),RR,28,West Indies,14,13,2,239,52,21.72,164,145.73,0,1,1,17,11
SP Narine (KKR),KKR,36,West Indies,12,12,1,246,44,22.36,144,170.83,0,0,1,25,19
SS Iyer (PBKS),PBKS,30,India,17,17,5,604,97*,50.33,345,175.07,0,6,1,43,39
Suryansh Shedge (PBKS),PBKS,22,India,5,3,0,7,4,2.33,11,63.63,0,0,0,0,0
SV Samson (RR),RR,30,India,9,9,1,285,66,35.62,203,140.39,0,1,0,27,13
T Stubbs (DC),DC,24,South Africa,14,13,7,300,41*,50,199,150.75,0,0,0,25,11
TA Boult (MI),MI,35,India,16,2,1,2,1*,2,3,66.66,0,0,0,0,0
TH David (RCB),RCB,29,India,12,9,6,187,50*,62.33,101,185.14,0,1,0,16,14
TM Head (SRH),SRH,31,Australia,13,12,0,374,76,31.16,230,162.6,0,3,1,50,15
TU Deshpande (RR),RR,29,Australia,10,4,3,7,3,7,8,87.5,0,0,0,0,0
UM Patel (CSK),CSK,26,Afghanistan,3,3,0,68,37,22.66,32,212.5,0,0,1,5,6
V Kohli (RCB),RCB,36,India,15,15,3,657,73*,54.75,454,144.71,0,8,0,66,19
V Nigam (DC),DC,20,India,14,8,1,142,39,20.28,79,179.74,0,0,1,15,8
V Shankar (CSK),CSK,34,India,6,5,2,118,69*,39.33,91,129.67,0,1,0,8,3
V Sooryavanshi (RR),RR,14,India,7,7,0,252,101,36,122,206.55,1,1,1,18,24
VR Iyer (KKR),KKR,30,India,11,7,0,142,60,20.28,102,139.21,0,1,0,15,4
Washington Sundar (GT),GT,25,India,6,5,0,133,49,26.6,80,166.25,0,0,0,10,7
WG Jacks (MI),MI,26,England,13,11,1,233,53,23.3,172,135.46,0,1,0,22,11
XC Bartlett (PBKS),PBKS,26,South Africa,4,1,0,11,11,11,15,73.33,0,0,0,1,0
Yash Dayal (RCB),RCB,27,India,15,3,1,4,3,2,8,50,0,0,1,0,0
YBK Jaiswal (RR),RR,23,India,14,14,1,559,75,43,350,159.71,0,6,0,60,28
