Player,Team,Age,Nationality,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Best Innings Bowling,Ave,Econ,SR,4,5
P Dubey (PBKS),PBKS,31,India,1,1,12,2,0,20,1,1/20,20,10,12,0,0
PHKD Mendis (SRH),SRH,26,Sri Lanka,5,4,42,7,0,60,2,1/4,30,8.57,21,0,0
PJ Cummins (SRH),SRH,32,Australia,14,14,298,49.4,0,450,16,3/19,28.12,9.06,18.62,0,0
Prince Yadav (LSG),LSG,23,India,6,6,137,22.5,0,225,3,1/29,75,9.85,45.66,0,0
PVD Chameera (DC),DC,33,Sri Lanka,6,5,90,15,0,171,4,1/24,42.75,11.4,22.5,0,0
PW Hasaranga (RR),RR,27,Sri Lanka,11,11,246,41,0,371,11,4/35,33.72,9.04,22.36,1,0
R Ashwin (CSK),CSK,38,India,9,9,186,31,0,283,7,2/41,40.42,9.12,26.57,0,0
R Parag (RR),RR,23,India,14,9,120,20,0,170,3,1/12,56.66,8.5,40,0,0
R Sai Kishore (GT),GT,28,India,15,15,255,42.3,0,393,19,3/30,20.68,9.24,13.42,0,0
R Shepherd (RCB),RCB,30,West Indies,8,7,84,14,0,151,6,2/14,25.16,10.78,14,0,0
RA Jadeja (CSK),CSK,36,India,14,14,227,37.5,0,324,10,2/17,32.4,8.56,22.7,0,0
Rashid Khan (GT),GT,26,Afghanistan,15,15,330,55,0,514,9,2/25,57.11,9.34,36.66,0,0
Rasikh Salam (RCB),RCB,24,India,2,2,36,6,0,70,1,1/35,70,11.66,36,0,0
Ravi Bishnoi (LSG),LSG,24,India,11,11,222,37,0,401,9,2/18,44.55,10.83,24.66,0,0
RJ Gleeson (MI),MI,37,England,1,1,21,3.3,0,39,1,1/39,39,11.14,21,0,0
Sandeep Sharma (RR),RR,31,India,10,10,219,36.3,0,361,9,2/21,40.11,9.89,24.33,0,0
SH Johnson (KKR),KKR,29,Australia,4,4,68,11.2,0,133,1,1/42,133,11.73,68,0,0
Simarjeet Singh (SRH),SRH,27,India,4,4,60,10,0,141,2,2/46,70.5,14.1,30,0,0
SM Curran (CSK),CSK,26,England,5,5,72,12,0,133,1,1/34,133,11.08,72,0,0
SN Thakur (LSG),LSG,33,India,10,10,204,34,0,375,13,4/34,28.84,11.02,15.69,1,0
SP Narine (KKR),KKR,36,West Indies,12,12,270,45,0,351,12,3/13,29.25,7.8,22.5,0,0
Suyash Sharma (RCB),RCB,21,India,14,14,300,50,0,442,8,3/17,55.25,8.84,37.5,0,0
TA Boult (MI),MI,35,New Zealand,16,16,346,57.4,0,517,22,4/26,23.5,8.96,15.72,1,0
