Player,BaseValue,MI_Value,CSK_Value,RCB_Value,RR_Value,KKR_Value,GT_Value,LSG_Value,PBKS_Value,DC_Value,SRH_Value
K Nitish Kumar Reddy (SRH),28.4,32.66,31.24,28.4,34.08,28.4,28.4,28.4,28.4,34.08,28.4
R Tewatia (GT),28.4,31.24,32.66,32.66,28.4,28.4,28.4,28.4,32.66,28.4,32.66
K Rabada (GT),28.2,28.2,31.02,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2
Mukesh Choudhary (CSK),28.1,28.1,30.91,28.1,28.1,28.1,28.1,28.1,28.1,30.91,28.1
J Overton (CSK),27.3,30.03,34.12,31.39,27.3,27.3,27.3,27.3,31.39,27.3,31.39
LS Livingstone (RCB),26.2,26.2,30.13,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2
Rahmanullah Gurbaz (KKR),24.7,28.4,24.7,24.7,29.64,24.7,24.7,27.17,24.7,29.64,24.7
RA Bawa (MI),24.6,30.75,27.06,28.29,29.52,24.6,24.6,24.6,28.29,29.52,28.29
Sediqullah Atal (DC),22.9,26.33,25.19,22.9,27.48,22.9,22.9,22.9,22.9,27.48,22.9
MM Sharma (DC),21.3,21.3,26.62,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3
A Taide (SRH),20.5,23.57,20.5,20.5,20.5,20.5,20.5,20.5,20.5,24.6,20.5
Ramandeep Singh (KKR),19.4,19.4,21.34,19.4,19.4,19.4,19.4,19.4,19.4,21.34,19.4
SK Rasheed (CSK),18.8,21.62,18.8,18.8,22.56,18.8,18.8,18.8,18.8,22.56,18.8
Simarjeet Singh (SRH),18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,20.02,18.2
MP Breetzke (LSG),16.4,16.4,18.04,16.4,16.4,16.4,16.4,16.4,16.4,18.04,16.4
A Manohar (SRH),15.6,15.6,19.5,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6
J Fraser-McGurk (DC),15.1,17.36,16.61,15.1,18.12,15.1,15.1,15.1,15.1,18.12,15.1
RA Tripathi (CSK),14.3,14.3,16.45,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
Shahbaz Ahmed (LSG),13.8,13.8,17.25,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
SH Johnson (KKR),10.9,10.9,11.99,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9
R Powell (KKR),10.2,10.2,12.75,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
PWA Mulder (SRH),8.9,8.9,9.79,8.9,8.9,8.9,8.9,8.9,8.9,9.79,8.9
Fazalhaq Farooqi (RR),8.4,9.66,8.4,8.4,8.4,8.4,8.4,8.4,8.4,10.08,8.4
DJ Hooda (CSK),8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
M Tiwari (DC),5.4,6.21,5.94,5.4,6.48,5.4,5.4,5.4,5.4,6.48,5.4
Suryansh Shedge (PBKS),3.6,4.14,3.96,3.6,4.32,3.6,3.6,3.6,3.6,4.32,3.6
R Minz (MI),0.0,,,,,,,,,,
