Player,AuctionPrice,AcquisitionType
Suyash Sharma (RCB),2.6,Retained
T Stubbs (DC),10.0,Retained
TA Boult (MI),12.5,Retained
TH David (RCB),3.0,Retained
TM Head (SRH),14.0,Retained
TU Deshpande (RR),6.5,Retained
UM Patel (CSK),0.3,Retained
V Kohli (RCB),21.0,Retained
V Nigam (DC),0.5,Retained
V Puthur (MI),0.3,Bought
V Shankar (CSK),0.0,Unknown
V Sooryavanshi (RR),1.1,Retained
V Vyshak (PBKS),1.8,Retained
VG Arora (KKR),1.8,Retained
VR Iyer (KKR),7.0,Bought
W O'Rourke (LSG),0.0,Unknown
WG Jacks (MI),5.2,Retained
Washington Sundar (GT),3.2,Retained
XC Bartlett (PBKS),0.8,Retained
YBK Jaiswal (RR),18.0,Retained
YS Chahal (PBKS),18.0,Retained
Yash Dayal (RCB),5.0,Retained
Yudhvir Singh (RR),0.3,Retained
Zeeshan Ansari (SRH),0.4,Retained
