Player,Team,Age,Nationality,Runs,BattingAverage,StrikeRate,100s,50s,Wickets,BowlingAverage,Economy,Role
A Badoni (LSG),LSG,25,India,329,32.9,148.19,0,2,2,6.5,7.8,Batsman
A Kamboj (CSK),CSK,24,India,14,7,116.66,0,0,8,21.5,8,Bowler
A Madhwal (RR),RR,31,India,4,-,44.44,0,0,4,41.5,11.06,Bowler
A Manohar (SRH),SRH,30,India,61,12.2,100,0,0,0,0,0,Batsman
A Mhatre (CSK),CSK,17,India,240,34.28,188.97,0,1,0,0,0,Batsman
A Raghuvanshi (KKR),KKR,20,India,300,33.33,139.53,0,1,0,0,0,Batsman
A Taide (SRH),SRH,24,Sri Lanka,13,13,144.44,0,0,0,0,0,Batsman
A Zampa (SRH),SRH,33,Australia,0,0,0,0,0,2,47,11.75,Bowler
AD Russell (KKR),KKR,36,India,167,18.55,163.72,0,1,8,27.12,11.94,All-Rounder
AK Markram (LSG),LSG,30,South Africa,445,34.23,148.82,0,5,4,25.5,9.27,Batsman
AM Rahane (KKR),KKR,36,India,390,35.45,147.72,0,3,0,0,0,Batsman
AR Patel (DC),DC,31,India,263,26.3,157.48,0,0,5,57.6,8.47,All-Rounder
AR Sharma (DC),DC,26,South Africa,204,29.14,160.62,0,1,0,0,0,Batsman
AS Roy (KKR),KKR,26,India,0,0,0,0,0,1,27,6.75,Bowler
AU Verma (SRH),SRH,23,India,236,26.22,166.19,0,1,0,0,0,Batsman
Abdul Samad (LSG),LSG,23,Australia,164,20.5,176.34,0,0,0,0,0,Batsman
Abhishek Sharma (SRH),SRH,24,India,439,33.76,193.39,1,2,0,0,0,Batsman
Abishek Porel (DC),DC,22,India,301,25.08,146.82,0,1,0,0,0,Wicketkeeper
Akash Deep (LSG),LSG,28,India,6,6,300,0,0,3,76.33,12.05,Bowler
Akash Singh (LSG),LSG,22,India,0,0,0,0,0,4,24.75,8.86,Bowler
Arshad Khan (GT),GT,27,India,23,11.5,121.05,0,0,6,36.16,10.33,Bowler
Arshdeep Singh (PBKS),PBKS,26,India,2,2,33.33,0,0,21,24.66,8.88,Bowler
Ashwani Kumar (MI),MI,23,India,0,0,0,0,0,11,21.09,11.31,Bowler
Avesh Khan (LSG),LSG,28,South Africa,21,21,175,0,0,13,37.46,10.28,Bowler
Azmatullah Omarzai (PBKS),PBKS,25,Australia,57,14.25,139.02,0,0,8,34.87,10.33,Bowler
B Kumar (RCB),RCB,35,Australia,14,4.66,56,0,0,17,28.41,9.28,Bowler
B Sai Sudharsan (GT),GT,23,India,759,54.21,156.17,1,6,0,0,0,Batsman
BKG Mendis (GT),GT,30,South Africa,20,20,200,0,0,0,0,0,Batsman
C Bosch (MI),MI,30,India,47,23.5,146.87,0,0,1,55,7.85,Bowler
CV Varun (KKR),KKR,33,India,1,-,100,0,0,17,22.52,7.66,Bowler
D Brevis (CSK),CSK,21,South Africa,225,37.5,180,0,2,0,0,0,Batsman
D Padikkal (RCB),RCB,24,India,247,27.44,150.6,0,2,0,0,0,Batsman
DA Miller (LSG),LSG,35,South Africa,153,30.6,127.5,0,0,0,0,0,Wicketkeeper
DC Jurel (RR),RR,24,India,333,37,156.33,0,2,0,0,0,Wicketkeeper
DJ Hooda (CSK),CSK,29,Sri Lanka,31,6.2,75.6,0,0,0,0,0,Batsman
DL Chahar (MI),MI,32,India,37,37,148,0,0,11,34.18,9.17,Bowler
DP Conway (CSK),CSK,33,South Africa,156,26,131.09,0,2,0,0,0,Wicketkeeper
DS Rathi (LSG),LSG,25,India,0,0,0,0,0,14,30.64,8.25,Bowler
E Malinga (SRH),SRH,24,Sri Lanka,0,0,0,0,0,13,18.3,8.92,Bowler
F du Plessis (DC),DC,40,India,202,22.44,123.92,0,2,0,0,0,Batsman
Fazalhaq Farooqi (RR),RR,24,Australia,2,-,100,0,0,0,0,0,Batsman
G Coetzee (GT),GT,24,Australia,17,8.5,154.54,0,0,2,65.5,10.91,Bowler
GJ Maxwell (PBKS),PBKS,36,India,48,8,97.95,0,0,4,27.5,8.46,Bowler
H Klaasen (SRH),SRH,33,South Africa,487,44.27,172.69,1,1,0,0,0,Wicketkeeper
HH Pandya (MI),MI,31,India,224,24.88,163.5,0,0,14,24.42,9.77,All-Rounder
HS Dubey (SRH),SRH,22,India,0,0,0,0,0,5,19.6,9.8,Bowler
HV Patel (SRH),SRH,34,England,21,10.5,80.76,0,0,16,26.87,9.8,Bowler
Harpreet Brar (PBKS),PBKS,29,India,11,11,84.61,0,0,10,19,8.63,Bowler
Harshit Rana (KKR),KKR,23,South Africa,57,14.25,107.54,0,0,15,29.86,10.18,Bowler
I Sharma (GT),GT,36,India,0,0,0,0,0,4,51.25,11.18,Bowler
Ishan Kishan (SRH),SRH,26,India,354,35.4,152.58,1,1,0,0,0,Wicketkeeper
J Fraser-McGurk (DC),DC,22,India,55,9.16,105.76,0,0,0,0,0,Batsman
J Overton (CSK),CSK,30,India,15,-,214.28,0,0,0,0,0,Batsman
JC Archer (RR),RR,30,Australia,63,10.5,126,0,0,11,39.18,9.47,Bowler
